# Distance / pm;  Density / nm^(-1);  Integral
-1993.333333;  0.000000000;  0.000000000
-1980.000000;  0.000000000;  0.000000000
-1966.666667;  0.000000000;  0.000000000
-1953.333333;  0.000000000;  0.000000000
-1940.000000;  0.000000000;  0.000000000
-1926.666667;  0.000000000;  0.000000000
-1913.333333;  0.000000000;  0.000000000
-1900.000000;  0.000000000;  0.000000000
-1886.666667;  0.000000000;  0.000000000
-1873.333333;  0.000000000;  0.000000000
-1860.000000;  0.000000000;  0.000000000
-1846.666667;  0.000000000;  0.000000000
-1833.333333;  0.000000000;  0.000000000
-1820.000000;  0.000000000;  0.000000000
-1806.666667;  0.000000000;  0.000000000
-1793.333333;  0.000000000;  0.000000000
-1780.000000;  0.000000000;  0.000000000
-1766.666667;  0.000000000;  0.000000000
-1753.333333;  0.000000000;  0.000000000
-1740.000000;  0.000000000;  0.000000000
-1726.666667;  0.000000000;  0.000000000
-1713.333333;  0.000000000;  0.000000000
-1700.000000;  0.000000000;  0.000000000
-1686.666667;  0.000000000;  0.000000000
-1673.333333;  0.000000000;  0.000000000
-1660.000000;  0.000000000;  0.000000000
-1646.666667;  0.000000000;  0.000000000
-1633.333333;  0.000000000;  0.000000000
-1620.000000;  0.000000000;  0.000000000
-1606.666667;  0.000000000;  0.000000000
-1593.333333;  0.000000000;  0.000000000
-1580.000000;  0.000000000;  0.000000000
-1566.666667;  0.000000000;  0.000000000
-1553.333333;  0.000000000;  0.000000000
-1540.000000;  0.000000000;  0.000000000
-1526.666667;  0.000000000;  0.000000000
-1513.333333;  0.000000000;  0.000000000
-1500.000000;  0.000000000;  0.000000000
-1486.666667;  0.000000000;  0.000000000
-1473.333333;  0.000000000;  0.000000000
-1460.000000;  0.000000000;  0.000000000
-1446.666667;  0.000000000;  0.000000000
-1433.333333;  0.000000000;  0.000000000
-1420.000000;  0.000000000;  0.000000000
-1406.666667;  0.000000000;  0.000000000
-1393.333333;  0.000000000;  0.000000000
-1380.000000;  0.000000000;  0.000000000
-1366.666667;  0.000000000;  0.000000000
-1353.333333;  0.000000000;  0.000000000
-1340.000000;  0.000000000;  0.000000000
-1326.666667;  0.000000000;  0.000000000
-1313.333333;  0.000000000;  0.000000000
-1300.000000;  0.000000000;  0.000000000
-1286.666667;  0.000000000;  0.000000000
-1273.333333;  0.000000000;  0.000000000
-1260.000000;  0.000000000;  0.000000000
-1246.666667;  0.000000000;  0.000000000
-1233.333333;  0.000000000;  0.000000000
-1220.000000;  0.000000000;  0.000000000
-1206.666667;  0.000000000;  0.000000000
-1193.333333;  0.000000000;  0.000000000
-1180.000000;  0.000000000;  0.000000000
-1166.666667;  0.000000000;  0.000000000
-1153.333333;  0.000000000;  0.000000000
-1140.000000;  0.000000000;  0.000000000
-1126.666667;  0.000000000;  0.000000000
-1113.333333;  0.000000000;  0.000000000
-1100.000000;  0.000000000;  0.000000000
-1086.666667;  0.000000000;  0.000000000
-1073.333333;  0.000000000;  0.000000000
-1060.000000;  0.000000000;  0.000000000
-1046.666667;  0.000000000;  0.000000000
-1033.333333;  0.000000000;  0.000000000
-1020.000000;  0.000000000;  0.000000000
-1006.666667;  0.000000000;  0.000000000
-993.3333333;  0.000000000;  0.000000000
-980.0000000;  0.000000000;  0.000000000
-966.6666667;  0.000000000;  0.000000000
-953.3333333;  0.000000000;  0.000000000
-940.0000000;  0.000000000;  0.000000000
-926.6666667;  0.000000000;  0.000000000
-913.3333333;  0.000000000;  0.000000000
-900.0000000;  0.000000000;  0.000000000
-886.6666667;  0.000000000;  0.000000000
-873.3333333;  1.284905871;  0.01713207827
-860.0000000;  7.151697819;  0.1124880492
-846.6666667;  13.52691548;  0.2928469222
-833.3333333;  18.73908983;  0.5427014533
-820.0000000;  18.29814836;  0.7866767648
-806.6666667;  7.930259674;  0.8924135605
-793.3333333;  4.674735666;  0.9547433693
-780.0000000;  2.686096549;  0.9905579900
-766.6666667;  0.7081507505;  1.000000000
-753.3333333;  0.000000000;  1.000000000
-740.0000000;  0.000000000;  1.000000000
-726.6666667;  0.000000000;  1.000000000
-713.3333333;  0.000000000;  1.000000000
-700.0000000;  0.000000000;  1.000000000
-686.6666667;  0.000000000;  1.000000000
-673.3333333;  0.000000000;  1.000000000
-660.0000000;  0.000000000;  1.000000000
-646.6666667;  0.000000000;  1.000000000
-633.3333333;  0.000000000;  1.000000000
-620.0000000;  0.000000000;  1.000000000
-606.6666667;  0.000000000;  1.000000000
-593.3333333;  0.000000000;  1.000000000
-580.0000000;  0.000000000;  1.000000000
-566.6666667;  0.000000000;  1.000000000
-553.3333333;  0.000000000;  1.000000000
-540.0000000;  0.000000000;  1.000000000
-526.6666667;  0.000000000;  1.000000000
-513.3333333;  0.000000000;  1.000000000
-500.0000000;  0.000000000;  1.000000000
-486.6666667;  0.000000000;  1.000000000
-473.3333333;  0.000000000;  1.000000000
-460.0000000;  0.000000000;  1.000000000
-446.6666667;  0.000000000;  1.000000000
-433.3333333;  0.000000000;  1.000000000
-420.0000000;  0.09758252842;  1.001301100
-406.6666667;  1.248386711;  1.017946257
-393.3333333;  2.060821118;  1.045423871
-380.0000000;  2.286789767;  1.075914402
-366.6666667;  2.671465561;  1.111533942
-353.3333333;  2.001901301;  1.138225960
-340.0000000;  8.138899166;  1.246744615
-326.6666667;  5.442325066;  1.319308950
-313.3333333;  1.958736495;  1.345425436
-300.0000000;  3.509071138;  1.392213051
-286.6666667;  5.430455671;  1.464619127
-273.3333333;  1.261392778;  1.481437697
-260.0000000;  2.385403306;  1.513243075
-246.6666667;  4.436592729;  1.572397644
-233.3333333;  5.288481412;  1.642910730
-220.0000000;  2.693742284;  1.678827294
-206.6666667;  2.497300558;  1.712124635
-193.3333333;  2.401057635;  1.744138736
-180.0000000;  2.695851739;  1.780083426
-166.6666667;  2.527837475;  1.813787926
-153.3333333;  1.288499305;  1.830967917
-140.0000000;  1.167546881;  1.846535208
-126.6666667;  0.2598593775;  1.850000000
-113.3333333;  0.4580828942;  1.856107772
-100.0000000;  1.438932028;  1.875293532
-86.66666667;  0.3529850778;  1.880000000
-73.33333333;  1.398155254;  1.898642070
-60.00000000;  1.443377212;  1.917887100
-46.66666667;  1.092824459;  1.932458092
-33.33333333;  2.105788792;  1.960535276
-20.00000000;  1.690931367;  1.983081028
-6.666666667;  0.5189229161;  1.990000000
6.666666667;  0.000000000;  1.990000000
20.00000000;  0.000000000;  1.990000000
33.33333333;  0.3925738304;  1.995234318
